date,BTC,ETH,BNB,XRP,DOT,DOGE,SHIB,LTC,UNI,LINK,MATIC,BCH,TRX,MANA,ATOM,ETC,XTZ,XMR,GRT,EOS,SAND,AAVE,LRC,NEO,ZEC
2021-07-01 19:00:00,32966.82179028,2092.29195587,284.75514343,0.65093877,15.01904744,0.24235092,8.28e-06,135.10476,17.6782854,17.76159549,1.07456007,489.50085714,0.06422831,0.526,10.83,52.93599313,2.90481411,205.6552507,0.52766573,3.88647598,0.24754022,229.37309896,0.25286454,33.79154906,120.54722912
2021-07-01 19:30:00,33092.9544777,2101.4441999,283.74129982,0.65132297,15.00564426,0.24260288,8.31e-06,135.09493204,17.76661531,17.92271564,1.0742363,491.71457141,0.0640546,0.52273906,10.83514818,53.19018769,2.85705052,204.09644029,0.5261272,3.8917962,0.24754022,230.08410253,0.25286454,33.86791697,120.64956977
2021-07-01 20:00:00,33298.82083433,2111.00000001,286.41099368,0.65732631,15.01599126,0.2440216,8.33e-06,135.5696087,17.89895678,18.03810827,1.07591529,491.07483468,0.06446148,0.5378,10.9225284,53.34832695,2.85705052,205.2389487,0.5261272,3.91469654,0.24754022,231.65072594,0.25286454,34.06590173,121.47439396
2021-07-01 20:30:00,33404.18251809,2120.06766512,286.9042648,0.6609636,15.05849436,0.24439862,8.35e-06,136.16055385,17.95904703,18.10672637,1.08060617,491.08471357,0.06466758,0.5378,10.94302834,53.12767089,2.85705052,206.54289074,0.5261272,3.94621348,0.24754022,232.28016701,0.25286454,34.227432,121.09980395
2021-07-01 21:00:00,33531.59053221,2126.09186349,288.43959594,0.665,15.2006927,0.24687514,8.38e-06,137.02571633,17.997702,18.23121087,1.08413837,496.59969226,0.06485289,0.54015488,11.05491602,53.53632861,2.92877182,208.3938305,0.53486349,3.95256979,0.24754022,233.32510269,0.25286454,34.53130724,121.66352993
2021-07-01 21:30:00,33511.0,2129.32750958,288.08774353,0.6649,15.28683049,0.24628148,8.37e-06,137.08650987,18.05024896,18.25561319,1.08458827,498.37280572,0.06487241,0.54605326,11.05054486,53.82,2.92877182,208.03229397,0.53908894,3.98761027,0.24754022,233.29386662,0.25286454,34.4079945,122.54288647
2021-07-01 22:00:00,33503.51306118,2125.32097884,288.49476868,0.66291268,15.32975488,0.24787423,8.36e-06,137.86939935,18.05800263,18.3490332,1.08520923,500.82474998,0.06511418,0.54954264,11.08220185,53.67033907,2.94363665,208.09559643,0.53908894,3.97322435,0.24886056,233.72928771,0.25286454,34.6156973,122.89738503
2021-07-01 22:30:00,33553.94549177,2129.44267838,288.88037098,0.66485123,15.30582574,0.24684666,8.4e-06,138.23880271,18.06794068,18.39891627,1.08802315,502.5603362,0.06507681,0.55240075,11.21779971,53.77709781,2.94363665,209.79989403,0.54340656,3.97876448,0.24886056,233.94386932,0.25286454,34.65582415,122.19185805
2021-07-01 23:00:00,33462.0,2111.8,287.75149839,0.66143446,15.24618244,0.24588826,8.37e-06,137.6420881,17.86891819,18.26793359,1.07661967,497.19096948,0.06482582,0.55240075,11.09940858,53.59186243,2.94363665,207.69339037,0.54199077,3.93959937,0.24713409,231.75045135,0.25286454,34.46219277,122.19185805
2021-07-01 23:30:00,33529.99068841,2107.90110589,288.73857511,0.65945529,15.25864212,0.24402423,8.33e-06,137.26858007,17.80833684,18.25069322,1.07489715,496.142,0.06479369,0.55240075,11.09940858,53.37604594,2.9534697,207.36124553,0.5412349,3.92854041,0.24713409,231.01110856,0.25286454,34.48545667,120.41758726
2021-07-02 00:00:00,33763.07485193,2124.34297543,288.99066413,0.66348393,15.34647784,0.24553695,8.43e-06,137.96683755,17.97817286,18.3547966,1.0846325,501.78223722,0.06518398,0.55664046,11.22204158,54.05205586,2.96024083,207.48027144,0.53976578,3.97989017,0.24713409,232.81879181,0.25286454,34.54980705,120.80668511
2021-07-02 00:30:00,33764.20724329,2135.0,288.93345313,0.66256402,15.44144607,0.24666666,8.39e-06,138.90805715,18.14921401,18.49768259,1.08836561,502.78314285,0.0653319,0.55664046,11.31054487,54.62272911,2.96024083,208.70752606,0.54004771,4.00026551,0.24599149,234.77218864,0.25286454,34.721332,120.92368561
2021-07-02 01:00:00,33482.31227074,2103.15381062,287.1893513,0.65706088,15.22365549,0.24326949,8.36e-06,137.39356201,17.8085137,18.22211529,1.07571406,496.142,0.06469191,0.53869312,11.21797595,53.43817394,2.96024083,207.5749408,0.54004771,3.92205528,0.24599149,230.04192346,0.25286454,34.057224,121.21790916
